user_id,ticket_id,num_tickets,payment_method,booking_time,ip_address,is_fraud
1,Ticket_7557,9,paypal,2025-03-06T10:30:22,192.168.1.9,0
1,Ticket_7794,2,credit_card,2025-03-18T10:30:22,192.168.1.8,0
1,Ticket_9482,4,debit_card,2025-03-02T10:30:22,192.168.1.12,0
1,Ticket_5130,1,credit_card,2025-02-27T10:30:22,192.168.1.7,0
1,Ticket_5868,3,debit_card,2025-02-23T10:30:22,192.168.1.1,0
1,Ticket_2171,8,debit_card,2025-02-21T10:30:22,192.168.1.18,0
1,Ticket_8903,3,debit_card,2025-02-22T10:30:22,192.168.1.13,0
1,Ticket_4576,1,credit_card,2025-02-20T10:30:22,192.168.1.7,0
1,Ticket_7290,7,paypal,2025-02-20T10:30:22,192.168.1.4,0
1,Ticket_8968,7,credit_card,2025-03-18T10:30:22,192.168.1.3,0
1,Ticket_1056,8,paypal,2025-03-03T10:30:22,192.168.1.2,0
1,Ticket_4234,7,debit_card,2025-03-11T10:30:22,192.168.1.19,0
1,Ticket_8757,8,paypal,2025-03-08T10:30:22,192.168.1.15,0
1,Ticket_1257,2,paypal,2025-03-03T10:30:22,192.168.1.20,0
1,Ticket_8076,3,debit_card,2025-02-25T10:30:22,192.168.1.11,0
1,Ticket_4219,6,credit_card,2025-03-02T10:30:22,192.168.1.10,0
1,Ticket_4624,1,debit_card,2025-03-03T10:30:22,192.168.1.7,0
1,Ticket_7189,5,credit_card,2025-02-24T10:30:22,192.168.1.18,0
1,Ticket_6298,1,credit_card,2025-02-26T10:30:22,192.168.1.8,1
1,Ticket_5424,8,credit_card,2025-03-14T10:30:22,192.168.1.5,0
1,Ticket_1899,4,debit_card,2025-02-27T10:30:22,192.168.1.6,1
1,Ticket_6693,9,credit_card,2025-03-07T10:30:22,192.168.1.13,0
1,Ticket_3064,9,debit_card,2025-03-08T10:30:22,192.168.1.17,0
1,Ticket_2060,2,credit_card,2025-03-05T10:30:22,192.168.1.13,1
1,Ticket_8567,7,paypal,2025-03-03T10:30:22,192.168.1.2,0
1,Ticket_4232,7,credit_card,2025-03-15T10:30:22,192.168.1.16,0
1,Ticket_8551,2,credit_card,2025-03-17T10:30:22,192.168.1.15,0
1,Ticket_1890,3,paypal,2025-02-24T10:30:22,192.168.1.1,0
1,Ticket_4145,8,paypal,2025-03-03T10:30:22,192.168.1.19,1
1,Ticket_7110,2,paypal,2025-03-07T10:30:22,192.168.1.13,0
1,Ticket_2269,9,paypal,2025-02-26T10:30:22,192.168.1.1,1
1,Ticket_4173,2,credit_card,2025-03-05T10:30:22,192.168.1.5,0
1,Ticket_8390,4,credit_card,2025-03-21T10:30:22,192.168.1.4,0
1,Ticket_9253,7,debit_card,2025-03-05T10:30:22,192.168.1.1,1
1,Ticket_1199,7,credit_card,2025-02-22T10:30:22,192.168.1.17,1
1,Ticket_7562,6,paypal,2025-03-15T10:30:22,192.168.1.1,0
1,Ticket_3099,9,paypal,2025-03-15T10:30:22,192.168.1.11,1
1,Ticket_7234,9,debit_card,2025-03-15T10:30:22,192.168.1.6,0
1,Ticket_5692,8,credit_card,2025-03-02T10:30:22,192.168.1.11,0
1,Ticket_7003,5,credit_card,2025-03-08T10:30:22,192.168.1.5,0
2,Ticket_6747,6,credit_card,2025-02-25T10:30:22,192.168.1.11,0
2,Ticket_7076,7,debit_card,2025-02-22T10:30:22,192.168.1.3,0
2,Ticket_1293,9,debit_card,2025-03-12T10:30:22,192.168.1.15,1
2,Ticket_2501,4,paypal,2025-03-16T10:30:22,192.168.1.16,0
2,Ticket_3560,9,credit_card,2025-03-04T10:30:22,192.168.1.7,0
2,Ticket_3382,2,credit_card,2025-03-13T10:30:22,192.168.1.8,0
2,Ticket_5316,1,credit_card,2025-02-27T10:30:22,192.168.1.18,0
2,Ticket_3860,5,credit_card,2025-03-13T10:30:22,192.168.1.15,0
2,Ticket_1971,1,debit_card,2025-03-19T10:30:22,192.168.1.20,1
2,Ticket_3339,1,debit_card,2025-03-20T10:30:22,192.168.1.15,0
2,Ticket_7757,4,paypal,2025-03-03T10:30:22,192.168.1.9,0
2,Ticket_3999,7,paypal,2025-03-01T10:30:22,192.168.1.19,0
2,Ticket_7424,6,debit_card,2025-02-25T10:30:22,192.168.1.1,0
2,Ticket_1790,7,debit_card,2025-03-12T10:30:22,192.168.1.9,0
2,Ticket_6922,8,credit_card,2025-02-25T10:30:22,192.168.1.10,0
2,Ticket_3239,2,paypal,2025-03-22T10:30:22,192.168.1.11,1
2,Ticket_8614,8,paypal,2025-02-28T10:30:22,192.168.1.17,0
2,Ticket_5131,4,debit_card,2025-03-09T10:30:22,192.168.1.9,0
2,Ticket_8975,8,credit_card,2025-03-17T10:30:22,192.168.1.7,0
2,Ticket_5390,7,paypal,2025-03-06T10:30:22,192.168.1.6,0
2,Ticket_9143,3,paypal,2025-03-10T10:30:22,192.168.1.4,0
2,Ticket_8153,7,paypal,2025-03-10T10:30:22,192.168.1.14,1
2,Ticket_5701,6,credit_card,2025-02-25T10:30:22,192.168.1.17,0
2,Ticket_7597,3,debit_card,2025-03-18T10:30:22,192.168.1.16,0
2,Ticket_9669,7,debit_card,2025-02-21T10:30:22,192.168.1.16,0
2,Ticket_1299,2,debit_card,2025-02-22T10:30:22,192.168.1.14,0
2,Ticket_7175,7,paypal,2025-02-21T10:30:22,192.168.1.7,0
2,Ticket_3717,3,debit_card,2025-03-22T10:30:22,192.168.1.11,0
2,Ticket_4218,2,credit_card,2025-02-25T10:30:22,192.168.1.18,1
2,Ticket_1587,5,paypal,2025-02-28T10:30:22,192.168.1.4,0
2,Ticket_4513,10,credit_card,2025-03-20T10:30:22,192.168.1.17,0
2,Ticket_8741,5,credit_card,2025-03-04T10:30:22,192.168.1.18,0
2,Ticket_8070,4,paypal,2025-03-09T10:30:22,192.168.1.1,1
2,Ticket_2371,10,paypal,2025-03-06T10:30:22,192.168.1.9,0
2,Ticket_1397,9,debit_card,2025-03-07T10:30:22,192.168.1.13,1
2,Ticket_2227,7,debit_card,2025-03-15T10:30:22,192.168.1.2,0
2,Ticket_1587,8,debit_card,2025-03-07T10:30:22,192.168.1.19,0
2,Ticket_2205,3,credit_card,2025-03-22T10:30:22,192.168.1.1,0
2,Ticket_3074,2,debit_card,2025-03-08T10:30:22,192.168.1.4,0
2,Ticket_2196,1,credit_card,2025-02-22T10:30:22,192.168.1.19,0
3,Ticket_4840,4,paypal,2025-03-08T10:30:22,192.168.1.7,0
3,Ticket_8886,5,credit_card,2025-03-12T10:30:22,192.168.1.2,0
3,Ticket_7872,8,debit_card,2025-03-18T10:30:22,192.168.1.6,0
3,Ticket_3647,2,paypal,2025-02-23T10:30:22,192.168.1.18,0
3,Ticket_9832,5,credit_card,2025-03-13T10:30:22,192.168.1.5,1
3,Ticket_2373,8,debit_card,2025-03-12T10:30:22,192.168.1.11,0
3,Ticket_9849,3,debit_card,2025-02-22T10:30:22,192.168.1.12,0
